统计时间,地区,省内地区,现有确诊人数,累计确诊人数,累计死亡人数,累计治愈人数
2022/05/06,安徽,马鞍山,0,41,0,41
2022/05/06,安徽,阜阳,0,163,0,163
2022/05/06,安徽,铜陵,0,33,0,33
2022/05/06,安徽,安庆,0,83,0,83
2022/05/06,安徽,滁州,0,15,0,15
2022/05/06,安徽,淮北,0,28,0,28
2022/05/06,安徽,亳州,0,108,0,108
2022/05/06,安徽,六安,0,84,0,84
2022/05/06,安徽,淮南,0,36,0,36
2022/05/06,安徽,合肥,0,178,1,177
2022/05/06,湖北,武汉,2,50423,3869,46552
2022/05/06,湖北,黄石,0,1015,39,976
2022/05/06,湖北,宜昌,0,932,37,895
2022/05/06,湖北,十堰,0,673,8,665
2022/05/06,湖北,天门,0,498,15,483
2022/05/06,湖北,荆州,0,1582,52,1530
2022/05/06,湖北,荆门,0,971,41,930
2022/05/06,湖北,襄阳,0,1175,40,1135
2022/05/06,湖北,鄂州,0,1395,59,1336
2022/05/06,湖北,恩施州,0,253,7,246
2022/05/06,湖北,孝感,0,3518,129,3389
2022/05/06,湖北,潜江,0,198,9,189
2022/05/06,湖北,咸宁,0,836,15,821
2022/05/06,湖北,随州,0,1307,45,1262
2022/05/06,湖北,神农架,0,11,0,11
2022/05/06,湖北,境外输入,0,123,0,123
2022/05/06,湖北,仙桃,0,575,22,553
2022/05/06,湖北,黄冈,0,2913,125,2788
2022/05/06,新疆,乌鲁木齐,1,857,0,856
2022/05/06,新疆,吐鲁番,0,3,0,3
2022/05/06,新疆,第七师,0,1,0,1
2022/05/06,新疆,六师五家渠,0,2,0,2
2022/05/06,新疆,第八师石河子,0,4,1,3
2022/05/06,新疆,兵团第九师,0,4,1,3
2022/05/06,新疆,兵团第四师,0,13,1,12
2022/05/06,新疆,伊犁哈萨克自治州,0,31,0,31
2022/05/06,新疆,克孜州,0,0,0,0
2022/05/06,新疆,阿克苏,0,1,0,1
2022/05/06,新疆,兵团第十二师,0,3,0,3
2022/05/06,新疆,昌吉州,0,5,0,5
2022/05/06,新疆,哈密,0,0,0,0
2022/05/06,新疆,博尔塔拉州,0,0,0,0
2022/05/06,新疆,阿勒泰,0,0,0,0
2022/05/06,新疆,巴音郭楞州,0,3,0,3
2022/05/06,新疆,喀什,0,80,0,80
2022/05/06,新疆,和田,0,0,0,0
2022/05/06,新疆,塔城,0,0,0,0
2022/05/06,新疆,克拉玛依,0,0,0,0
2022/05/06,新疆,地区待确认,0,1,0,1
2022/05/06,贵州,贵阳,1,39,1,37
2022/05/06,贵州,黔东南州,1,12,0,11
2022/05/06,贵州,境外输入,0,1,0,1
2022/05/06,贵州,六盘水,0,10,1,9
2022/05/06,贵州,安顺,0,5,0,5
2022/05/06,贵州,遵义,0,53,0,53
2022/05/06,贵州,黔南州,0,17,0,17
2022/05/06,贵州,铜仁,0,12,0,12
2022/05/06,贵州,黔西南州,0,8,0,8
2022/05/06,贵州,毕节,0,23,0,23
2022/05/06,贵州,地区待确认,-1,0,0,1
2022/05/06,西藏,山南,0,0,0,0
2022/05/06,西藏,那曲,0,0,0,0
2022/05/06,西藏,林芝,0,0,0,0
2022/05/06,西藏,昌都,0,0,0,0
2022/05/06,西藏,日喀则,0,0,0,0
2022/05/06,西藏,阿里地区,0,0,0,0
2022/05/06,西藏,拉萨,0,1,0,1
2022/05/06,陕西,境外输入,0,483,0,483
2022/05/06,陕西,延安,0,21,0,21
2022/05/06,陕西,榆林,0,3,0,3
2022/05/06,陕西,汉中,0,57,0,57
2022/05/06,陕西,安康,0,33,0,33
2022/05/06,陕西,地区待确认,0,0,0,0
2022/05/06,陕西,宝鸡,0,253,0,253
2022/05/06,陕西,铜川,0,26,0,26
2022/05/06,陕西,西安,0,2333,3,2330
2022/05/06,陕西,商洛,0,8,0,8
2022/05/06,陕西,渭南,0,22,0,22
2022/05/06,陕西,咸阳,0,35,0,35
2022/05/06,陕西,杨凌,0,3,0,3
2022/05/06,天津,西青区,188,206,0,18
2022/05/06,天津,武清区,149,151,0,2
2022/05/06,天津,滨海新区,64,86,0,22
2022/05/06,天津,河北区,39,95,0,56
2022/05/06,天津,南开区,30,37,0,7
2022/05/06,天津,红桥区,29,36,0,7
2022/05/06,天津,东丽区,27,32,0,5
2022/05/06,天津,津南区,20,364,0,344
2022/05/06,天津,河西区,18,28,0,10
2022/05/06,天津,北辰区,16,23,0,7
2022/05/06,天津,河东区,15,34,1,18
2022/05/06,天津,静海区,11,11,0,0
2022/05/06,天津,宝坻区,6,66,2,58
2022/05/06,天津,外地来津,2,8,0,6
2022/05/06,天津,宁河区,2,6,0,4
2022/05/06,天津,和平区,0,6,0,6
2022/05/06,天津,蓟州区,0,0,0,0
2022/05/06,天津,境外输入,0,615,0,615
2022/05/06,天津,待确认,-616,0,0,616
2022/05/06,甘肃,地区待确认,0,1,0,1
