统计时间,大陆,国家,新增确诊人数,当前确诊人数,累计确诊人数,死亡人数,治愈人数
5.07,非洲,布基纳法索,0,32,20853,382,20439
5.07,非洲,刚果（布）,0,3516,24079,385,20178
5.07,亚洲,塔吉克斯坦,0,0,17388,124,17264
5.07,欧洲,列支敦士登公国,5,76,17230,84,17070
5.07,欧洲,直布罗陀,159,1315,17996,102,16579
5.07,欧洲,圣马力诺,0,271,16561,115,16175
5.07,非洲,赤道几内亚,2,26,15910,183,15701
5.07,非洲,吉布提,0,15,15631,189,15427
5.07,大洋洲,所罗门群岛,764,1500,16441,144,14797
5.07,北美洲,格林纳达,154,620,15138,220,14298
5.07,非洲,南苏丹,1,3839,17491,138,13514
5.07,北美洲,百慕大,0,412,13832,131,13289
5.07,非洲,索马里,0,11953,26485,1350,13182
5.07,北美洲,多米尼克,0,73,12161,63,12025
5.07,欧洲,摩纳哥,29,152,11898,54,11692
5.07,非洲,冈比亚,0,39,11995,365,11591
5.07,南美洲,法属圭亚那,0,69210,80859,395,11254
5.07,北美洲,圣马丁岛,0,66,10065,86,9913
5.07,欧洲,库拉索岛,0,56,9804,34,9714
5.07,非洲,厄立特里亚,0,1,9735,103,9631
5.07,,Tonga,210,1438,10704,11,9255
5.07,亚洲,也门,0,661,11819,2149,9009
5.07,,开曼群岛（英属）,0,14248,22828,27,8553
5.07,非洲,尼日尔,0,98,8957,309,8550
5.07,非洲,科摩罗,0,7,8100,160,7933
5.07,,Faeroe Islands,0,26937,34658,28,7693
5.07,亚洲,老挝,230,199960,208368,748,7660
5.07,非洲,几内亚比绍,3,512,8213,171,7530
5.07,北美洲,安提瓜和巴布达,9,55,7663,137,7471
5.07,大洋洲,瓦努阿图,58,440,7716,14,7262
5.07,非洲,中非共和国,0,7677,14649,113,6859
5.07,北美洲,圣文森特和格林纳丁斯,1,40,6787,106,6641
5.07,,Turks and Caicos,0,41,5995,36,5918
5.07,非洲,圣多美和普林西比民主共和国,0,7,5964,73,5884
5.07,非洲,利比里亚,0,1393,7434,294,5747
5.07,北美洲,圣基茨和尼维斯,0,8,5570,43,5519
5.07,,Cook Islands,17,215,5246,1,5030
5.07,非洲,乍得,0,2345,7412,193,4874
5.07,北美洲,尼加拉瓜,0,14041,18491,225,4225
5.07,,Palau,0,641,4690,6,4043
5.07,非洲,马约特岛,0,34212,37363,187,2964
5.07,,Anguilla,0,13,2788,9,2766
5.07,北美洲,格陵兰,0,9189,11971,21,2761
5.07,,Kiribati,0,475,3089,13,2601
5.07,,Saint Pierre Miquelon,26,277,2727,1,2449
5.07,北美洲,法属瓜德罗普岛,0,137026,140130,854,2250
5.07,,萨摩亚,0,8585,10210,20,1605
5.07,,圣马丁岛（法属）,75,9075,10537,63,1399
5.07,非洲,布隆迪,0,39864,40675,38,773
5.07,其他,钻石号邮轮,0,0,712,13,699
5.07,,Wallis and Futuna,0,9,454,7,438
5.07,,蒙特塞拉特,81,229,452,2,221
5.07,北美洲,马提尼克岛,0,152223,153253,926,104
5.07,欧洲,梵蒂冈城,0,0,29,0,29
5.07,大洋洲,马绍尔群岛,0,3,17,0,14
5.07,非洲,西撒哈拉,0,0,10,1,9
5.07,,Niue,0,1,9,0,8
5.07,,尚丹号,0,0,9,2,7
5.07,,Nauru,0,2,5,0,3
5.07,,圣赫勒拿岛,0,0,2,0,2
5.07,,密克罗尼西亚,0,6,7,0,1
5.07,南美洲,秘鲁,829,3355786,3568692,212906,0
5.07,欧洲,乌克兰,0,4894459,5002870,108411,0
5.07,南美洲,厄瓜多尔,288,834928,870526,35598,0
5.07,非洲,突尼斯,0,1012146,1040712,28566,0
5.07,亚洲,韩国,42277,17414910,17438068,23158,0
5.07,欧洲,葡萄牙,0,3831520,3853800,22280,0
5.07,非洲,苏丹,0,57202,62135,4933,0
5.07,欧洲,挪威,337,1424479,1427485,3006,0
5.07,非洲,坦桑尼亚,0,33069,33872,803,0
5.07,,法属波利尼西亚,0,72117,72765,648,0
5.07,非洲,塞拉利昂,0,7556,7681,125,0
5.07,,英属维尔京群岛,0,6293,6355,62,0
5.07,,St. Barth,31,4569,4575,6,0
5.07,南美洲,马尔维纳斯群岛,0,197,197,0,0
